20190201 013600;0.872960;0.872960;0.872890;0.872920;0
20190201 013700;0.872920;0.873000;0.872900;0.873000;0
20190201 013800;0.873000;0.873040;0.872960;0.872960;0
20190201 013900;0.872980;0.873010;0.872950;0.873000;0
20190201 014000;0.872970;0.873020;0.872970;0.873000;0
20190201 014100;0.872980;0.872980;0.872960;0.872980;0
20190201 014200;0.872980;0.873020;0.872980;0.873020;0
20190201 014300;0.873010;0.873020;0.872980;0.872990;0
20190201 014400;0.872990;0.873040;0.872960;0.873030;0
20190201 014500;0.873030;0.873030;0.873020;0.873030;0
20190201 014600;0.873030;0.873030;0.872980;0.873020;0
20190201 014700;0.873020;0.873020;0.873010;0.873020;0
20190201 014800;0.873020;0.873030;0.872940;0.872940;0
20190201 014900;0.872940;0.872970;0.872940;0.872960;0
20190201 015000;0.872970;0.873050;0.872970;0.873050;0
20190201 015100;0.873060;0.873060;0.873020;0.873020;0
20190201 015200;0.873030;0.873050;0.872960;0.872980;0
20190201 015300;0.872970;0.872990;0.872960;0.872960;0
20190201 015400;0.872960;0.873050;0.872960;0.873030;0
20190201 015500;0.873040;0.873080;0.873000;0.873010;0
20190201 015600;0.873010;0.873060;0.873000;0.873020;0
20190201 015700;0.873020;0.873090;0.873020;0.873090;0
20190201 015800;0.873080;0.873090;0.872990;0.873020;0
20190201 015900;0.873020;0.873020;0.872950;0.872990;0
20190201 020000;0.872990;0.873030;0.872860;0.872930;0
20190201 020100;0.872930;0.873050;0.872930;0.873020;0
20190201 020200;0.873030;0.873050;0.873000;0.873000;0
20190201 020300;0.872990;0.873180;0.872970;0.873180;0
20190201 020400;0.873170;0.873230;0.873100;0.873120;0
20190201 020500;0.873100;0.873240;0.873100;0.873230;0
20190201 020600;0.873230;0.873250;0.873210;0.873230;0
20190201 020700;0.873240;0.873240;0.873110;0.873180;0
20190201 020800;0.873180;0.873250;0.873130;0.873130;0
20190201 020900;0.873120;0.873240;0.873120;0.873200;0
20190201 021000;0.873200;0.873230;0.873120;0.873170;0
20190201 021100;0.873170;0.873190;0.873170;0.873190;0
20190201 021200;0.873190;0.873220;0.873160;0.873220;0
20190201 021300;0.873250;0.873500;0.873230;0.873420;0
20190201 021400;0.873420;0.873600;0.873410;0.873540;0
20190201 021500;0.873520;0.873520;0.873360;0.873440;0
20190201 021600;0.873440;0.873530;0.873440;0.873530;0
20190201 021700;0.873530;0.873560;0.873460;0.873510;0
20190201 021800;0.873510;0.873580;0.873490;0.873580;0
20190201 021900;0.873590;0.873590;0.873430;0.873490;0
